"api_family","section","endpoint_name","method_doc","documented_url","endpoint_key","documented_payload_fields","documented_json_status","parigo_status","parigo_code_refs","parigo_payload_or_query","conformance","live_evidence","evidence_or_note"
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Album","POST","{HM_ServiceAPI_URL}/getalbumsbyids/{HM_ServiceAPI_MemberToken}","getalbumsbyids","albumid, albumid[].id","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Albums","Get Featured Albums","GET","{HM_ServiceAPI_URL}/getfeaturedalbums/{HM_ServiceAPI_MemberToken}/{Top}?returntrackcount={returnTrackCount}&mainonly={mainOnly}&sort={sortorder}","getfeaturedalbums","","not-applicable","implemented","src/lib/harvest/catalog.ts:323","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Albums","Get Latest Albums","GET","{HM_ServiceAPI_URL}/getlatestalbums/{HM_ServiceAPI_MemberToken}/{Top}","getlatestalbums","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Albums","Get Album","GET","{HM_ServiceAPI_URL}/getalbum/{HM_ServiceAPI_MemberToken}/{AlbumID}?returnLibraryCodes={returnLibraryCodes}","getalbum","","not-applicable","implemented","src/lib/harvest/catalog.ts:384","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Albums","Get Album Tracks","GET","{HM_ServiceAPI_URL}/getalbumtracks/{HM_ServiceAPI_MemberToken}/{AlbumID}/mainonly?skip={skip}&limit={limit}","getalbumtracks","","not-applicable","implemented","src/lib/harvest/catalog.ts:388","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Albums","Get Album Tracks (Include Inactive)","GET","{HM_ServiceAPI_URL}/getalbumtracks/{HM_ServiceAPI_MemberToken}/{AlbumID}/includeinactive?skip={skip}&limit={limit}","getalbumtracks","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Tracks","Get Tracks","POST","{HM_ServiceAPI_URL}/gettracks/{HM_ServiceAPI_MemberToken}","gettracks","ReturnAlternateVersions, ReturnAttributes, ReturnCategories, ReturnCategoryFacet, ReturnCodes, ReturnComposers, ReturnRelatedTracks, ReturnRightHolders, GetMainVersionFromAlternate, CuesheetOnlyCodesAndAttribute, ReturnInactiveTracks, ReturnRegionOnlyTracks, Offset, Limit, track","valid","implemented","src/lib/harvest/catalog.ts:294 | src/lib/harvest/catalog.ts:295","ReturnAlternateVersions, ReturnAttributes, ReturnCategories, ReturnCategoryFacet, ReturnCodes, ReturnComposers, ReturnRelatedTracks, ReturnRightHolders, GetMainVersionFromAlternate, CuesheetOnlyCodesAndAttribute, ReturnInactiveTracks, ReturnRegionOnlyTracks, Offset, Limit, track[]","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Tracks","Get Top Tracks","POST","{HM_ServiceAPI_URL}/gettoptracks/{HM_ServiceAPI_MemberToken}","gettoptracks","","invalid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Categories","Get Categories","GET","{HM_ServiceAPI_URL}/getcategories/{HM_ServiceAPI_MemberToken}/hasactivetrackonly?languagecode={LanguageCode}","getcategories","","not-applicable","implemented","src/lib/harvest/catalog.ts:566","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Right Holders","Get Rightholders By Track","GET","{HM_ServiceAPI_URL}/getrightholders/{HM_ServiceAPI_MemberToken}/{TrackID}","getrightholders","","not-applicable","implemented","src/lib/harvest/activity.ts:1054 | src/lib/harvest/activity.ts:1057","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlist Categories","Get Featured Playlist Categories","GET","{HM_ServiceAPI_URL}/getfeaturedplaylistcategories/{HM_ServiceAPI_MemberToken}?returnplaylistcount={HM_ServiceAPI_ShowCounts}&skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder}","getfeaturedplaylistcategories","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlist Categories","Get Featured Playlist Categories & Playlists","GET","{HM_ServiceAPI_URL}/getfeaturedplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken}?returnplaylistcount={HM_ServiceAPI_ShowCounts}&returntrackcount={HM_ServiceAPI_ShowCounts}&returnrootobjectsonly={HM_ServiceAPI_ShowCounts}&playlistcategoryid={HM_ServiceAPI_NewMemberPlaylistCategoryID}&skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder}","getfeaturedplaylistcategoriesandplaylists","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists","Get Featured Playlists","GET","{HM_ServiceAPI_URL}/getfeaturedplaylistsplaylistonly/{HM_ServiceAPI_MemberToken}?showtrackcount={ShowTrackCount}&skip={Skip}&limit={Limit}&languagecode={LanguageCode}&style={StyleID}","getfeaturedplaylistsplaylistonly","","not-applicable","implemented","src/lib/harvest/catalog.ts:504","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists","Get Featured Playlist","POST","{HM_ServiceAPI_URL}/getfeaturedplaylistandtracks/{HM_ServiceAPI_MemberToken}/{PlaylistID}","getfeaturedplaylistandtracks","ReturnTracks, ReturnAlbums, ReturnLibraries, AllowInactive, LanguageCode, OrderBy","valid","implemented","src/lib/harvest/catalog.ts:524","{} (POST vide; les options documentées ne sont pas envoyées)","compatible-confirme","payload officiel et payload Parigo {} exécutés en POST: HTTP 200 dans les deux cas","La méthode POST est correcte; Parigo envoie {} au lieu des six options de l'exemple officiel, forme également acceptée en live."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists","Search Featured Playlist Tracks","POST","{HM_ServiceAPI_URL}/searchfeaturedplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_FeaturedPlaylistID}","searchfeaturedplaylisttracks","Keyword, Fields, ReturnTrackCount, Skip, Limit, OrderBy","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Shared Playlists","Get Shared Playlist","GET","{HM_ServiceAPI_URL}/getsharedplaylistwithmembertoken/{HM_ServiceAPI_MemberToken}/{PlaylistID}?Skip={Skip}&Limit={Limit}","getsharedplaylistwithmembertoken","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By Library","Get Generated Cuesheet By ID","POST","{HM_ServiceAPI_URL}/getcuesheet/{HM_ServiceAPI_MemberToken}?filename={Filename}","getcuesheet","track","valid","implemented","src/lib/harvest/activity.ts:1387","track[]","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching","Get EDL File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching","Confirm EDL File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","AssetType, FileName, ContentType, FileUrl","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching","Get Cuesheet Matches","POST","{HM_ServiceAPI_URL}/getcuesheetmatch/{HM_ServiceAPI_MemberToken}","getcuesheetmatch","CuesheetID, OutputEmail, OutputFileName","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search","Search","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Session, SaveSearchHistory, SearchFilters, SearchFilters.SearchType, SearchFilters.IncludeInactive, SearchFilters.MainOnly, SearchFilters.AlternateOnly, SearchFilters.FeaturedLibrariesOnly, SearchFilters.HasStems, SearchFilters.HasLyrics, SearchFilters.ExplicitOnly, SearchFilters.NearestBPM, SearchFilters.NearestDuration, SearchFilters.NearestAlternate, SearchFilters.ParentSearchHistoryID, SearchFilters.GeneratePlaylist, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Keyword_Aggregated, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.ExactPhrase, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.Wildcard, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.DisableKeywordGroup, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.OrOperation, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.Keywords, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.Negative, SearchFilters.ResultView, SearchFilters.ResultView.View, SearchFilters.ResultView.View_Style_Album_Count, SearchFilters.ResultView.View_Style_Playlist_Count, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.RankExpression, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit, SearchFilters.ResultView.Facet_LibraryGroup, SearchFilters.ResultView.Facet_LibraryGroupSkip, SearchFilters.ResultView.Facet_LibraryGroupLimit, SearchFilters.ResultView.Facet_Library, SearchFilters.ResultView.Facet_LibrarySkip, SearchFilters.ResultView.Facet_LibraryLimit, SearchFilters.ResultView.Facet_Album, SearchFilters.ResultView.Facet_AlbumSkip, SearchFilters.ResultView.Facet_AlbumLimit, SearchFilters.ResultView.Facet_Style, SearchFilters.ResultView.Facet_StyleSkip, SearchFilters.ResultView.Facet_StyleLimit, SearchFilters.ResultView.Facet_Category, SearchFilters.ResultView.Facet_CategorySkip, SearchFilters.ResultView.Facet_CategoryLimit, SearchFilters.ResultView.Facet_Composer, SearchFilters.ResultView.Facet_ComposerSkip, SearchFilters.ResultView.Facet_ComposerLimit, SearchFilters.ResultView.Facet_BPM, SearchFilters.ResultView.Facet_Duration, SearchFilters.ResultView.Facet_ReleaseYear","valid","implemented","src/lib/harvest/catalog.ts:244 | src/lib/harvest/catalog.ts:245","SaveSearchHistory, RegionID, SearchFilters{SearchType, LibraryType, IncludeInactive, MainOnly, AlternateOnly, Nearest*, TranslateKeyword, ParentSearchHistoryID, PreviousSearchTermBundles?, SearchTermBundle, ResultView}","conforme-sous-ensemble","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Structure documentée; champs optionnels adaptés au besoin Parigo; variantes live validées."
"Public API","Public API > Searching Metadata > Search","Predictive Search","POST","{HM_ServiceAPI_URL}/autocomplete/{HM_ServiceAPI_MemberToken}","autocomplete","Keyword, Wildcard, ReturnTracks, ReturnTracks_MainOnly, ReturnTracks_Fields, ReturnTracks_Limit, ReturnTracks_Order, ReturnTracks_DisableKeywordGroup, ReturnTracks_Rank, ReturnAlbums, ReturnAlbums_Fields, ReturnAlbums_Limit, ReturnAlbums_Order, ReturnAlbums_DisableKeywordGroup, ReturnLibraries, ReturnLibraries_Fields, ReturnLibraries_Limit, ReturnLibraries_DisableKeywordGroup, ReturnStyles, ReturnStyles_Limit, ReturnStyles_Order, ReturnStyles_DisableKeywordGroup, ReturnCategoryAttributes, ReturnCategoryAttributes_Limit, ReturnCategoryAttributes_ShowOnPlayerOnly, ReturnCategoryAttributes_IncludeCategory, ReturnCategoryAttributes_Order, ReturnCategoryAttributes_DisableKeywordGroup, ReturnRightHolders, ReturnRightHolders_Fields, ReturnRightHolders_Limit, ReturnRightHolders_DisableKeywordGroup, RightHolderTypes, ReturnLyrics, ReturnLyrics_Limit, ReturnLyrics_MainOnly, ReturnLyrics_DisableKeywordGroup, ReturnKeywords, ReturnKeywordsMaxSize, ReturnKeywordsForMatch, ReturnKeywordsForMatch_Fields, ReturnKeywordsForMatch_HideWhenSearchTerm, ReturnKeywordsDisableKeywordGroup, ReturnFeaturedPlaylists, ReturnFeaturedPlaylist_Fields, ReturnFeaturedPlaylists_Limit, ReturnFeaturedPlaylist_Order, ReturnFeaturedPlaylists_DisableKeywordGroup","valid","implemented","src/app/api/autocomplete/route.ts:4 | src/app/api/autocomplete/route.ts:13 | src/lib/api-client.ts:314","Keyword, LibraryType et drapeaux ReturnTracks/Albums/Libraries/Styles/CategoryAttributes/RightHolders/Lyrics/Keywords/FeaturedPlaylists avec champs, limites et tris","conforme-sous-ensemble","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Structure documentée; options non utilisées omises; live 200."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By TrackID)","Search Similar Tracks (By TrackID)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].TrackID, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload)","Get Audio File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload)","Confirm Audio File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","AssetType, FileName, ReturnWaveformDatapoints, ReturnWaveformDatapointsUrl, ObjectId","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload)","Search Similar Tracks (By Audio File Upload)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By URL)","Get External Audio File","POST","{HM_ServiceAPI_URL}/getexternalaudiobyurl/{HM_ServiceAPI_MemberToken}","getexternalaudiobyurl","Url, Type, ReturnWaveformDataPoints, ReturnWaveformDataPointsUrl","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By URL)","Search Similar Tracks (By URL)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Prompt)","Search Similar Tracks (By Prompt)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Prompt, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
