"method","route","file","source_system","harvest_mapping","public_contract","audit_status"
"POST","/api/user/playlists/[id]/archive","src/app/api/user/playlists/[id]/archive/route.ts","Harvest Public API / Parigo server session","GET /archiveplaylist/{memberToken}/{playlistId}; GET /restorearchiveplaylist/{memberToken}/{playlistId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/playlists/[id]/duplicate","src/app/api/user/playlists/[id]/duplicate/route.ts","Harvest Public API / Parigo server session","POST /duplicatememberplaylist/{memberToken}/{playlistId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/playlists/[id]/placement","src/app/api/user/playlists/[id]/placement/route.ts","Harvest Public API / Parigo server session","GET /movememberplaylisttocategory/{memberToken}/{playlistId}/{categoryId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/playlists/[id]","src/app/api/user/playlists/[id]/route.ts","Harvest Public API / Parigo server session","GET /getmemberplaylist/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/playlists/[id]","src/app/api/user/playlists/[id]/route.ts","Harvest Public API / Parigo server session","POST /updateplaylist/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/playlists/[id]","src/app/api/user/playlists/[id]/route.ts","Harvest Public API / Parigo server session","GET /removeplaylist/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/playlists/[id]/share","src/app/api/user/playlists/[id]/share/route.ts","Harvest Public API / Parigo server session","POST /getinvitedmembertoken; /getsharemusicurl; éventuellement /sendsharemusiclinkemail","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/playlists/[id]/suggestions","src/app/api/user/playlists/[id]/suggestions/route.ts","Harvest Public API / Parigo server session","POST /suggestmemberplaylisttracks/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/playlists/[id]/tracks","src/app/api/user/playlists/[id]/tracks/route.ts","Harvest Public API / Parigo server session","POST /searchmemberplaylisttracks/{memberToken}/{playlistId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/playlists/[id]/tracks","src/app/api/user/playlists/[id]/tracks/route.ts","Harvest Public API / Parigo server session","POST /addtomemberplaylists/{memberToken} | POST /removeplaylisttracks/{memberToken}/{id} | POST /reordermemberplaylisttracks/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/playlists/copy-featured","src/app/api/user/playlists/copy-featured/route.ts","Harvest Public API / Parigo server session","POST /copytomemberplaylist/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/playlists","src/app/api/user/playlists/route.ts","Harvest Public API / Parigo server session","GET /getmemberplaylistsnotracks/{memberToken} | getmemberplaylistsnotracks + getmemberplaylistcategoriesandplaylists","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/playlists","src/app/api/user/playlists/route.ts","Harvest Public API / Parigo server session","POST /addmemberplaylist/{memberToken} | addmemberplaylist puis addtomemberplaylists puis relecture","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/playlists","src/app/api/user/playlists/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/profile/image","src/app/api/user/profile/image/route.ts","Harvest Public API / Parigo server session","POST /getpresigneduploadurl/{memberToken} | POST /confirmpresignedupload/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/profile/image","src/app/api/user/profile/image/route.ts","Harvest Public API / Parigo server session","POST /confirmpresignedupload/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/profile/image","src/app/api/user/profile/image/route.ts","Harvest Public API / Parigo server session","POST /removeassignedupload/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/profile","src/app/api/user/profile/route.ts","Harvest Public API / Parigo server session","GET /getmember/{memberToken}; service info formats","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PUT","/api/user/profile","src/app/api/user/profile/route.ts","Harvest Public API / Parigo server session","POST /updatemember/{memberToken} | POST /membersubscribe/{memberToken}; POST /updatemember/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/searches/[id]","src/app/api/user/searches/[id]/route.ts","Harvest Public API / Parigo server session","POST /updatemembersavesearch/{memberToken}/{savedSearchId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/searches","src/app/api/user/searches/route.ts","Harvest Public API / Parigo server session","POST /searchmembersavesearches/{memberToken} | searchmembersavesearches; cloudsearch","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/searches","src/app/api/user/searches/route.ts","Harvest Public API / Parigo server session","POST /addmembersavesearch/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/searches","src/app/api/user/searches/route.ts","Harvest Public API / Parigo server session","GET /removemembersavedsearch/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/tags/[id]","src/app/api/user/tags/[id]/route.ts","Harvest Public API / Parigo server session","POST /updatemembertag/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/tags/[id]","src/app/api/user/tags/[id]/route.ts","Harvest Public API / Parigo server session","GET /removemembertag/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/tags/[id]/tracks","src/app/api/user/tags/[id]/tracks/route.ts","Harvest Public API / Parigo server session","GET /getmembertagtracks/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/tags/[id]/tracks","src/app/api/user/tags/[id]/tracks/route.ts","Harvest Public API / Parigo server session","POST /addtomembertags/{memberToken} | GET /removetrackmembertag/{memberToken}/{tagId}/{trackId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/tags","src/app/api/user/tags/route.ts","Harvest Public API / Parigo server session","GET /getmembertags/{memberToken} | getmembertags?ReturnTagCount=1 + getmembertagtracks par tag","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/tags","src/app/api/user/tags/route.ts","Harvest Public API / Parigo server session","POST /addmembertag/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/tracks/[id]/comments","src/app/api/user/tracks/[id]/comments/route.ts","Harvest Public API / Parigo server session","GET /gettrackmembercomments/{memberToken}/{trackId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/tracks/[id]/comments","src/app/api/user/tracks/[id]/comments/route.ts","Harvest Public API / Parigo server session","POST /addtrackmembercomment/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/tracks/[id]/comments","src/app/api/user/tracks/[id]/comments/route.ts","Harvest Public API / Parigo server session","POST /updatetrackmembercomment/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/tracks/[id]/comments","src/app/api/user/tracks/[id]/comments/route.ts","Harvest Public API / Parigo server session","GET /removetrackmembercomment/{memberToken}/{commentId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/tracks/[id]/tags","src/app/api/user/tracks/[id]/tags/route.ts","Harvest Public API / Parigo server session","GET /getmembertagsbytrack/{memberToken}/{trackId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
