"Fichier","Espace","Angle","Informations utiles","Dimensions","Qualité","Garder ?","Motif"
"02-orgue-et-pochettes/orgue-pochettes-plan-large-depuis-passage-img-1035.jpg","orgue-et-pochettes","plan large","orgue pochettes plan large depuis passage","5712x4284","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"02-orgue-et-pochettes/orgue-pochettes-profil-dans-bureau-img-1033.jpg","orgue-et-pochettes","profil","orgue pochettes profil dans bureau","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/pochettes-orgue-vue-plongeante-img-1034.jpg","orgue-et-pochettes","plongée","pochettes orgue vue plongeante","5712x4284","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"03-locaux-et-circulation/bureau-depuis-palier-contexte-img-1053.jpg","locaux-et-circulation","depuis/vers le palier","bureau depuis palier contexte","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/bureau-depuis-palier-plantes-img-1052.jpg","locaux-et-circulation","depuis/vers le palier","bureau depuis palier plantes","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/bureau-vue-depuis-entree-img-1072.jpg","locaux-et-circulation","depuis/vers l'entrée","bureau vue depuis entree","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/bureau-vue-depuis-vitrine-img-1073.jpg","locaux-et-circulation","contexte","bureau vue depuis vitrine","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/espace-reunion-vers-entree-img-1080.jpg","locaux-et-circulation","depuis/vers l'entrée","espace reunion vers entree","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/meuble-rouge-noir-et-orgue-img-1054.jpg","locaux-et-circulation","contexte","meuble rouge noir et orgue","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/palier-escalier-fenetre-portrait-img-1049.jpg","locaux-et-circulation","portrait","palier escalier fenetre portrait","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/palier-escalier-fenetres-plan-large-img-1050.jpg","locaux-et-circulation","plan large","palier escalier fenetres plan large","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/palier-vers-bureau-img-1051.jpg","locaux-et-circulation","depuis/vers le palier","palier vers bureau","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/plateau-bureau-orgue-plan-large-img-1081.jpg","locaux-et-circulation","plan large","plateau bureau orgue plan large","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/plateau-bureau-perspective-large-img-1086.jpg","locaux-et-circulation","contexte","plateau bureau perspective large","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/plateau-bureau-perspective-longue-img-1085.jpg","locaux-et-circulation","contexte","plateau bureau perspective longue","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/plateau-bureau-vue-generale-img-1084.jpg","locaux-et-circulation","plan large","plateau bureau vue generale","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"03-locaux-et-circulation/table-reunion-devant-fenetre-img-1079.jpg","locaux-et-circulation","contexte","table reunion devant fenetre","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"04-exterieur-facade/facade-angle-droit-img-1068.jpg","exterieur-facade","trois-quarts droit","facade angle droit","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"04-exterieur-facade/facade-angle-entree-img-1067.jpg","exterieur-facade","depuis/vers l'entrée","facade angle entree","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"04-exterieur-facade/facade-angle-portrait-img-1070.jpg","exterieur-facade","portrait","facade angle portrait","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"04-exterieur-facade/facade-contexte-rue-plan-large-img-1071.jpg","exterieur-facade","plan large","facade contexte rue plan large","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"04-exterieur-facade/facade-face-large-img-1069.jpg","exterieur-facade","frontal","facade face large","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"04-exterieur-facade/facade-face-velos-img-1066.jpg","exterieur-facade","frontal","facade face velos","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/illustration-encadree-femme-chien-img-1096.jpg","objets-et-decoration","contexte","illustration encadree femme chien","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophee-metal-01-angle-img-1056.jpg","objets-et-decoration","contexte","trophee metal 01 angle","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophee-metal-01-face-img-1055.jpg","objets-et-decoration","frontal","trophee metal 01 face","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophee-metal-02-angle-img-1058.jpg","objets-et-decoration","contexte","trophee metal 02 angle","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophee-metal-02-face-img-1057.jpg","objets-et-decoration","frontal","trophee metal 02 face","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophee-metal-03-angle-img-1060.jpg","objets-et-decoration","contexte","trophee metal 03 angle","4032x3024","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"05-objets-et-decoration/trophee-metal-03-face-img-1059.jpg","objets-et-decoration","frontal","trophee metal 03 face","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophees-metal-groupe-droit-img-1063.jpg","objets-et-decoration","contexte","trophees metal groupe droit","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophees-metal-groupe-face-img-1061.jpg","objets-et-decoration","frontal","trophees metal groupe face","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"05-objets-et-decoration/trophees-metal-groupe-gauche-img-1062.jpg","objets-et-decoration","contexte","trophees metal groupe gauche","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"07-rendus-maitres/v2/R01-hero-orgue-v2-master.png","autre","contexte","R01 hero orgue v2 master","1920x1080","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"07-rendus-maitres/v2/R02-plateau-editorial-v2-master.png","autre","contexte","R02 plateau editorial v2 master","1920x1080","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"07-rendus-maitres/v2/R03-facade-angle-v2-master.png","autre","contexte","R03 facade angle v2 master","1920x1080","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"07-rendus-maitres/v2/R14-forgot-password-v2-master.png","autre","contexte","R14 forgot password v2 master","1200x1500","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"07-rendus-maitres/v2/R15-reset-password-v2-master.png","autre","contexte","R15 reset password v2 master","1200x1500","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"07-rendus-maitres/v2/R32-table-editoriale-pochettes-trophees-v2-master.png","autre","contexte","R32 table editoriale pochettes trophees v2 master","1600x1200","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"08-pochettes-hd/acid-body-music.jpg","pochettes-hd","contexte","acid body music","1857x1854","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/egocentric-visuo-spatial-perspective.jpg","pochettes-hd","contexte","egocentric visuo spatial perspective","3000x3000","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/hand-funktion.jpg","pochettes-hd","contexte","hand funktion","3000x3000","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/mustang-force.jpg","pochettes-hd","contexte","mustang force","1200x1200","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/ny-parigo.jpg","pochettes-hd","contexte","ny parigo","1440x1440","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/the-trip.jpg","pochettes-hd","contexte","the trip","4000x4000","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/une-derniere-fois.jpg","pochettes-hd","contexte","une derniere fois","1034x1033","suffisante","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/velodrome.jpg","pochettes-hd","contexte","velodrome","1200x1200","suffisante","selected","Référence explicitement utilisée par au moins une génération V3"
"08-pochettes-hd/videoclub.jpg","pochettes-hd","contexte","videoclub","3000x3000","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"09-images-fixes-videos/circulation-palier-et-rangements-img-1077-still-10s.jpg","images-fixes-videos","depuis/vers le palier","circulation palier et rangements","1080x1920","suffisante","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"09-images-fixes-videos/circulation-palier-et-rangements-img-1077-still-6s.jpg","images-fixes-videos","depuis/vers le palier","circulation palier et rangements","1080x1920","suffisante","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"09-images-fixes-videos/circulation-palier-et-rangements-img-1077-still.jpg","images-fixes-videos","depuis/vers le palier","circulation palier et rangements","1080x1920","suffisante","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"09-images-fixes-videos/plaque-rue-remy-dumoncel-detail.jpg","images-fixes-videos","détail","plaque rue remy dumoncel detail","1100x1000","suffisante","selected","Référence explicitement utilisée par au moins une génération V3"
"06-videos-contexte/bureau-tour-meubles-et-entree-img-1076.mov","videos-contexte","parcours vidéo","bureau tour meubles et entree","1920x1080; 41.63s","contexte uniquement","selected-frame","Une frame précise est extraite pour résoudre la géométrie"
"06-videos-contexte/circulation-palier-et-rangements-img-1077.mov","videos-contexte","parcours vidéo","circulation palier et rangements","1920x1080; 13.97s","contexte uniquement","selected-frame","Une frame précise est extraite pour résoudre la géométrie"
"06-videos-contexte/exterieur-tour-facade-img-1074.mov","videos-contexte","parcours vidéo","exterieur tour facade","1920x1080; 30.80s","contexte uniquement","selected-frame","Une frame précise est extraite pour résoudre la géométrie"
"06-videos-contexte/orgue-pochettes-plan-fixe-img-1091.mov","videos-contexte","parcours vidéo","orgue pochettes plan fixe","1920x1080; 2.40s","contexte uniquement","selected-frame","Une frame précise est extraite pour résoudre la géométrie"
"06-videos-contexte/orgue-pochettes-tour-vertical-img-1090.mov","videos-contexte","parcours vidéo","orgue pochettes tour vertical","1920x1080; 12.30s","contexte uniquement","context-only","Vidéo inspectée mais aucune frame supplémentaire n'est nécessaire"
"06-videos-contexte/orgue-tour-details-commandes-img-1075.mov","videos-contexte","parcours vidéo","orgue tour details commandes","1920x1080; 44.17s","contexte uniquement","context-only","Vidéo inspectée mais aucune frame supplémentaire n'est nécessaire"
"06-videos-contexte/plateau-bureau-orgue-plan-fixe-img-1083.mov","videos-contexte","parcours vidéo","plateau bureau orgue plan fixe","1920x1080; 2.94s","contexte uniquement","selected-frame","Une frame précise est extraite pour résoudre la géométrie"
"06-videos-contexte/plateau-bureau-traversee-img-1082.mov","videos-contexte","parcours vidéo","plateau bureau traversee","1920x1080; 9.03s","contexte uniquement","context-only","Vidéo inspectée mais aucune frame supplémentaire n'est nécessaire"
"06-videos-contexte/table-reunion-plan-fixe-img-1078.mov","videos-contexte","parcours vidéo","table reunion plan fixe","1920x1080; 1.13s","contexte uniquement","context-only","Vidéo inspectée mais aucune frame supplémentaire n'est nécessaire"
